"kind","scenario","n","effect","kappa_theta","kappa_phi","method","rejection_rate","R","mc_error","B","alpha","target_R","completed"
"reduced_sensitivity","N1_uniform_uniform",100,0,32,16,"HSIC fixed-grid sensitivity",0.054,500,0.0101078187557949,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,32,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,32,16,"HSIC fixed-grid sensitivity",0.926,500,0.0117067501895274,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,32,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,0.5,32,"HSIC fixed-grid sensitivity",0.036,500,0.0083311463797007,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,0.5,32,"HSIC fixed-grid sensitivity",0.644,500,0.0214132669156297,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,0.5,32,"HSIC fixed-grid sensitivity",0.056,500,0.0102824121683582,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,0.5,32,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,1,32,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,1,32,"HSIC fixed-grid sensitivity",0.992,500,0.0039839678713564,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,1,32,"HSIC fixed-grid sensitivity",0.086,500,0.0125382614424808,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,1,32,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,2,32,"HSIC fixed-grid sensitivity",0.026,500,0.00711674082709213,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,2,32,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,2,32,"HSIC fixed-grid sensitivity",0.228,500,0.0187625158227781,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,2,32,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,4,32,"HSIC fixed-grid sensitivity",0.032,500,0.00787095928079926,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,4,32,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,4,32,"HSIC fixed-grid sensitivity",0.636,500,0.021517620686312,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,4,32,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
