method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
first-order trigonometric moment diagnostic,0.043753838881783,0.358,NA,null,N1_uniform_uniform,100,0,45,499,20461056
HSIC fixed,0.392354283131024,0.086,NA,null,N1_uniform_uniform,100,0,46,499,20461066
HSIC median,0.00336872189734436,0.116,NA,null,N1_uniform_uniform,100,0,46,499,20461066
HSIC standardized multi-scale,1.79682737029204,0.092,7,null,N1_uniform_uniform,100,0,46,499,20461066
naive Euclidean-angle HSIC anti-example,0.00173815091086568,0.412,NA,null,N1_uniform_uniform,100,0,46,499,20461066
first-order trigonometric moment diagnostic,0.0741569992211148,0.13,NA,null,N1_uniform_uniform,100,0,46,499,20461066
HSIC fixed,0.17312453114552,0.864,NA,null,N1_uniform_uniform,100,0,47,499,20461076
HSIC median,0.00102873264918563,0.8,NA,null,N1_uniform_uniform,100,0,47,499,20461076
HSIC standardized multi-scale,0.774145845220412,0.38,7,null,N1_uniform_uniform,100,0,47,499,20461076
naive Euclidean-angle HSIC anti-example,0.002582538756226,0.192,NA,null,N1_uniform_uniform,100,0,47,499,20461076
first-order trigonometric moment diagnostic,0.0194629973078668,0.756,NA,null,N1_uniform_uniform,100,0,47,499,20461076
HSIC fixed,0.215436901210728,0.62,NA,null,N1_uniform_uniform,100,0,48,499,20461086
HSIC median,0.00185079288746721,0.536,NA,null,N1_uniform_uniform,100,0,48,499,20461086
HSIC standardized multi-scale,0.110331946032839,0.592,7,null,N1_uniform_uniform,100,0,48,499,20461086
naive Euclidean-angle HSIC anti-example,0.000894192783365551,0.794,NA,null,N1_uniform_uniform,100,0,48,499,20461086
first-order trigonometric moment diagnostic,0.0378358502222751,0.416,NA,null,N1_uniform_uniform,100,0,48,499,20461086
HSIC fixed,0.202565873976247,0.73,NA,null,N1_uniform_uniform,100,0,49,499,20461096
HSIC median,0.000846116570638711,0.88,NA,null,N1_uniform_uniform,100,0,49,499,20461096
HSIC standardized multi-scale,0.560828206670931,0.416,7,null,N1_uniform_uniform,100,0,49,499,20461096
naive Euclidean-angle HSIC anti-example,0.000821172702844221,0.796,NA,null,N1_uniform_uniform,100,0,49,499,20461096
